Gender,Own_Car,Own_Property,Children_Count,Annual_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Employment_Days,Age_Days,Has_Work_Phone,Has_Phone,Has_Email,Occupation_Type,Family_Members,Status
M,Y,Y,3,211170,Commercial associate,Higher education,Separated,House / apartment,-7682,-14219,0,0,0,Managers,5,1
F,Y,N,0,207338,Working,Secondary / secondary special,Married,House / apartment,-45,-8803,0,0,0,High skill tech staff,1,0
F,N,Y,1,332723,Commercial associate,Secondary / secondary special,Married,House / apartment,-5120,-22692,0,1,0,Secretaries,4,1
M,N,Y,0,263930,Commercial associate,Secondary / secondary special,Married,House / apartment,-7517,-20208,0,0,0,Core staff,4,1
F,N,Y,0,251184,Working,Secondary / secondary special,Single / not married,House / apartment,-10868,-7806,0,0,0,Accountants,2,1
F,Y,N,2,186041,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14156,-13045,0,1,0,Cleaning staff,3,0
F,N,Y,2,150547,Working,Incomplete higher,Single / not married,House / apartment,-9223,-12240,0,1,0,Cooking staff,2,1
F,N,N,0,148084,Working,Secondary / secondary special,Civil marriage,House / apartment,-13357,-16732,0,0,0,Drivers,3,0
F,N,Y,0,101318,State servant,Higher education,Married,House / apartment,-4475,-17092,0,0,0,Accountants,2,1
F,N,N,1,76547,Commercial associate,Secondary / secondary special,Married,House / apartment,-13737,-20561,0,0,0,Laborers,2,0
F,Y,N,0,100793,Pensioner,Secondary / secondary special,Single / not married,House / apartment,3,-9629,1,0,0,Medicine staff,3,0
M,N,Y,0,97037,Commercial associate,Secondary / secondary special,Married,House / apartment,-3123,-11773,0,0,0,IT staff,2,0
F,Y,Y,0,120620,Working,Secondary / secondary special,Married,House / apartment,-445,-14067,0,0,0,Laborers,3,0
M,N,Y,0,138803,Working,Incomplete higher,Married,House / apartment,-8861,-18611,0,1,0,Security staff,2,0
F,Y,Y,2,207050,Commercial associate,Higher education,Married,House / apartment,-7826,-13580,1,1,1,Core staff,2,1
F,Y,Y,0,127609,State servant,Secondary / secondary special,Married,House / apartment,-14785,-12539,0,0,0,Drivers,1,0
M,N,Y,0,137473,Working,Higher education,Married,Rented apartment,-10224,-7771,0,0,0,Accountants,1,1
F,N,Y,1,173251,Pensioner,Secondary / secondary special,Married,House / apartment,11,-12760,0,1,0,IT staff,2,0
F,Y,Y,2,98711,State servant,Higher education,Married,House / apartment,-12660,-23668,0,0,0,Cleaning staff,1,1
M,N,Y,0,342097,Commercial associate,Higher education,Married,With parents,-7294,-13771,0,1,0,Core staff,1,1
F,N,Y,0,170115,State servant,Higher education,Single / not married,Municipal apartment,-900,-12476,0,0,0,Core staff,3,1
F,Y,Y,0,211439,Working,Secondary / secondary special,Civil marriage,House / apartment,-5301,-18700,1,1,0,Accountants,1,1
M,N,N,2,176108,State servant,Secondary / secondary special,Married,House / apartment,-12910,-7342,0,0,0,IT staff,3,0
F,Y,Y,1,245389,Commercial associate,Secondary / secondary special,Married,House / apartment,-3430,-17834,1,0,0,High skill tech staff,2,1
M,N,Y,2,122810,Working,Lower secondary,Separated,House / apartment,-13884,-24663,0,0,0,Laborers,4,0
F,N,N,3,94284,Pensioner,Incomplete higher,Married,House / apartment,9,-21706,1,0,0,Core staff,2,0
F,Y,Y,2,109582,Working,Secondary / secondary special,Widow,Rented apartment,-1420,-8280,0,0,0,Drivers,2,0
F,Y,N,1,120364,Working,Higher education,Married,House / apartment,-1068,-11555,0,1,1,Accountants,2,1
F,N,Y,1,187559,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-4068,-23133,0,0,0,Security staff,2,1
F,N,Y,0,294038,Working,Secondary / secondary special,Married,Municipal apartment,-9666,-24506,1,0,0,Medicine staff,3,1
F,N,Y,4,203597,Working,Higher education,Married,House / apartment,-1754,-20358,1,0,0,Sales staff,1,1
M,N,N,0,94234,Pensioner,Secondary / secondary special,Widow,House / apartment,11,-21114,1,1,0,Core staff,5,0
F,N,Y,0,165249,Working,Secondary / secondary special,Widow,Municipal apartment,-11744,-16648,0,1,0,Secretaries,2,1
M,Y,Y,1,99739,Working,Secondary / secondary special,Married,Municipal apartment,-3840,-22964,0,0,0,Cooking staff,2,1
F,N,Y,0,216730,Working,Secondary / secondary special,Separated,House / apartment,-5660,-10278,1,0,0,Managers,3,1
M,N,Y,1,214157,Working,Higher education,Married,House / apartment,-11824,-9444,1,1,0,Accountants,2,1
M,Y,Y,1,209130,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8620,-8814,0,1,1,Drivers,4,1
M,Y,Y,1,120152,Pensioner,Secondary / secondary special,Married,House / apartment,27,-15301,0,1,0,Secretaries,2,0
F,Y,Y,2,156088,State servant,Secondary / secondary special,Married,House / apartment,-2555,-22719,0,1,0,Cooking staff,3,1
M,N,Y,0,219155,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-1805,-14940,0,1,0,Private service staff,1,1
F,N,N,1,133573,Working,Higher education,Married,With parents,-1184,-23399,1,0,0,Laborers,4,0
M,Y,N,1,215863,State servant,Higher education,Married,With parents,-11655,-12981,0,0,1,Managers,3,1
M,N,N,1,116687,Pensioner,Secondary / secondary special,Married,Municipal apartment,27,-13328,0,0,0,Sales staff,2,0
F,Y,N,2,132838,Commercial associate,Higher education,Married,House / apartment,-8004,-23701,0,0,0,Sales staff,1,1
F,N,Y,0,105233,Commercial associate,Incomplete higher,Single / not married,House / apartment,-5668,-10206,0,1,0,IT staff,2,0
M,Y,Y,1,168397,State servant,Secondary / secondary special,Married,Municipal apartment,-12067,-10252,0,1,0,Private service staff,5,1
F,N,Y,0,176584,Commercial associate,Higher education,Civil marriage,With parents,-7259,-8974,1,0,0,Laborers,2,1
F,N,Y,3,90757,Working,Incomplete higher,Married,With parents,-9345,-9983,1,0,0,IT staff,2,0
F,N,Y,0,279668,Commercial associate,Higher education,Married,Co-op apartment,-4701,-22119,1,0,0,Secretaries,1,1
M,N,Y,2,254838,Working,Higher education,Married,Municipal apartment,-12552,-21668,1,1,0,Drivers,2,1
M,N,Y,0,188129,Working,Higher education,Single / not married,House / apartment,-815,-23897,0,0,0,Medicine staff,3,1
F,N,Y,0,272479,Working,Secondary / secondary special,Married,House / apartment,-14173,-21823,1,0,1,Laborers,5,1
M,Y,Y,1,260039,Working,Higher education,Married,House / apartment,-9104,-13334,0,0,0,Sales staff,2,1
F,Y,Y,2,226664,Working,Higher education,Married,House / apartment,-13797,-22823,1,0,0,Private service staff,3,1
F,N,N,1,184481,Working,Secondary / secondary special,Civil marriage,House / apartment,-3505,-7422,1,0,0,Managers,2,0
F,Y,Y,3,208919,Commercial associate,Incomplete higher,Married,With parents,-8381,-18959,0,0,0,Medicine staff,1,1
F,Y,Y,1,110339,Pensioner,Higher education,Civil marriage,House / apartment,11,-16273,0,0,0,Medicine staff,2,0
F,N,Y,1,179520,State servant,Secondary / secondary special,Married,With parents,-14156,-10468,0,0,0,Private service staff,3,1
M,N,Y,0,67048,Working,Higher education,Married,House / apartment,-12029,-17940,0,0,0,Accountants,5,1
F,N,Y,2,97950,Commercial associate,Secondary / secondary special,Married,House / apartment,-13732,-12439,0,0,0,Security staff,4,0
M,Y,Y,0,165457,State servant,Higher education,Married,Municipal apartment,-2075,-8353,0,1,0,Cleaning staff,2,1
F,Y,Y,3,122271,Working,Secondary / secondary special,Married,House / apartment,-10256,-9044,0,1,0,Drivers,2,0
F,N,Y,3,229401,Commercial associate,Incomplete higher,Widow,House / apartment,-7265,-18032,1,0,0,Medicine staff,2,1
F,Y,N,3,91688,Pensioner,Secondary / secondary special,Married,House / apartment,8,-20054,0,0,0,Laborers,4,0
F,Y,N,1,95275,Working,Higher education,Married,Municipal apartment,-5179,-9932,0,0,0,Cleaning staff,4,0
F,N,Y,1,115082,Pensioner,Academic degree,Married,Municipal apartment,13,-11268,0,1,0,Cooking staff,3,1
M,N,Y,2,132067,Pensioner,Secondary / secondary special,Married,Rented apartment,19,-20911,0,0,0,Sales staff,2,0
M,N,N,0,112299,Working,Higher education,Married,Municipal apartment,-6005,-24643,0,1,1,Laborers,2,0
F,Y,Y,1,256348,Working,Secondary / secondary special,Separated,With parents,-6681,-11001,1,0,0,Private service staff,2,1
M,Y,Y,0,86389,Working,Higher education,Married,House / apartment,-5857,-19495,0,0,0,Cleaning staff,2,1
M,N,Y,1,307039,Working,Higher education,Single / not married,House / apartment,-12736,-16058,0,1,0,Secretaries,2,1
M,Y,N,0,155324,Working,Incomplete higher,Married,House / apartment,-14981,-9160,0,1,0,Sales staff,1,1
M,N,Y,0,178011,Commercial associate,Incomplete higher,Married,House / apartment,-3170,-21750,1,0,0,Managers,1,1
M,N,Y,0,66477,Working,Secondary / secondary special,Married,With parents,-13219,-22742,0,0,0,Accountants,4,0
M,N,N,1,151452,State servant,Secondary / secondary special,Married,House / apartment,-2974,-15898,1,0,0,Managers,3,1
M,Y,Y,1,193708,Working,Higher education,Married,House / apartment,-3677,-24417,0,0,0,Laborers,2,1
M,Y,Y,0,174830,Working,Secondary / secondary special,Married,House / apartment,-2038,-10499,0,0,0,Private service staff,2,1
F,N,N,1,146215,Working,Secondary / secondary special,Married,House / apartment,-8143,-14232,0,0,0,Core staff,2,0
M,N,Y,0,326656,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10166,-9769,0,1,0,Core staff,3,1
M,N,Y,1,247831,Working,Secondary / secondary special,Married,House / apartment,-7704,-7523,0,0,0,Accountants,3,1
F,Y,Y,1,181848,Working,Secondary / secondary special,Single / not married,With parents,-6252,-9263,0,0,0,Secretaries,3,0
M,Y,Y,1,272445,Working,Incomplete higher,Married,House / apartment,-12756,-19883,0,1,0,IT staff,3,1
F,N,Y,2,120481,Pensioner,Higher education,Civil marriage,Office apartment,3,-17062,0,0,0,Laborers,2,0
F,N,Y,0,105709,Student,Higher education,Married,House / apartment,-3245,-14667,1,0,0,Medicine staff,2,0
M,N,Y,2,228935,Working,Secondary / secondary special,Married,House / apartment,-12275,-10078,1,0,0,Accountants,2,1
M,Y,N,1,82621,Working,Secondary / secondary special,Widow,House / apartment,-10401,-18254,0,0,0,Managers,2,0
F,N,Y,1,97328,Commercial associate,Secondary / secondary special,Married,House / apartment,-9634,-18880,0,0,0,Private service staff,3,0
F,N,Y,1,276257,Commercial associate,Academic degree,Married,House / apartment,-1975,-22523,0,0,0,Drivers,2,1
F,N,Y,0,109683,Working,Secondary / secondary special,Married,House / apartment,-10113,-18863,0,1,0,Security staff,1,0
F,N,N,1,75301,Pensioner,Secondary / secondary special,Married,House / apartment,5,-22124,0,0,0,Sales staff,2,0
M,Y,Y,1,161328,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-1342,-24958,0,1,0,IT staff,5,1
F,N,Y,0,96370,Working,Higher education,Civil marriage,House / apartment,-14804,-19171,0,0,0,Laborers,2,1
M,Y,Y,0,162037,Commercial associate,Higher education,Civil marriage,House / apartment,-9774,-16405,0,0,0,Accountants,3,1
F,N,Y,0,169033,State servant,Secondary / secondary special,Widow,House / apartment,-12172,-11507,0,0,0,Secretaries,2,1
F,N,Y,3,126341,Pensioner,Secondary / secondary special,Married,House / apartment,12,-14592,0,0,0,Cleaning staff,1,0
F,N,N,1,163960,Working,Higher education,Married,House / apartment,-11012,-18151,0,0,0,Cleaning staff,2,1
F,N,Y,0,206904,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9268,-18314,0,0,0,Medicine staff,3,1
M,Y,Y,0,201258,Working,Higher education,Married,House / apartment,-9721,-14659,0,0,0,IT staff,2,1
M,N,Y,1,234211,Working,Higher education,Married,Co-op apartment,-12531,-9339,0,0,0,High skill tech staff,4,1
M,N,N,2,194696,Commercial associate,Higher education,Married,House / apartment,-13370,-7739,1,1,0,High skill tech staff,2,1
M,Y,Y,0,105495,Pensioner,Higher education,Separated,House / apartment,5,-23114,0,0,0,IT staff,1,0
F,Y,Y,0,260647,Commercial associate,Higher education,Married,Rented apartment,-11722,-23697,1,1,0,Laborers,4,1
M,N,Y,2,121998,State servant,Incomplete higher,Civil marriage,House / apartment,-12962,-7504,0,0,0,Private service staff,2,0
M,Y,Y,0,102136,Working,Secondary / secondary special,Married,With parents,-9568,-17548,0,0,0,Laborers,3,0
F,N,Y,0,145827,Pensioner,Secondary / secondary special,Married,House / apartment,20,-18882,0,0,0,Cleaning staff,3,0
F,N,Y,3,104769,Pensioner,Higher education,Civil marriage,House / apartment,23,-16561,0,1,0,High skill tech staff,2,0
F,N,Y,1,89125,Working,Secondary / secondary special,Widow,House / apartment,-10670,-13548,0,0,0,High skill tech staff,3,0
F,Y,Y,0,220645,Commercial associate,Incomplete higher,Married,With parents,-8530,-10574,0,0,0,Core staff,1,1
M,N,Y,0,164044,Working,Secondary / secondary special,Married,House / apartment,-7923,-24433,1,0,0,Private service staff,2,1
M,N,Y,0,91347,Pensioner,Incomplete higher,Married,House / apartment,28,-15620,0,0,0,High skill tech staff,1,0
F,Y,Y,0,103902,Commercial associate,Higher education,Civil marriage,Co-op apartment,-4333,-23647,0,0,0,High skill tech staff,3,1
F,N,N,2,153694,Working,Higher education,Married,House / apartment,-10239,-13196,0,1,0,Private service staff,2,1
M,N,N,0,201353,Commercial associate,Secondary / secondary special,Married,House / apartment,-9781,-10585,0,0,0,Private service staff,3,1
F,N,N,2,186618,Commercial associate,Academic degree,Single / not married,Co-op apartment,-3499,-20035,0,1,1,Managers,4,1
M,Y,N,3,170878,Working,Secondary / secondary special,Married,House / apartment,-3630,-24832,1,1,0,Sales staff,2,0
M,N,Y,0,317998,Working,Secondary / secondary special,Married,House / apartment,-7999,-13644,0,1,0,IT staff,2,1
F,Y,Y,0,93519,Working,Secondary / secondary special,Civil marriage,With parents,-13613,-22329,0,0,0,High skill tech staff,2,0
F,Y,Y,1,262666,Commercial associate,Incomplete higher,Separated,House / apartment,-14359,-8238,1,0,0,Core staff,2,1
F,N,Y,3,133224,Pensioner,Secondary / secondary special,Separated,House / apartment,0,-23068,1,1,1,Accountants,2,0
M,N,Y,2,185602,State servant,Higher education,Married,House / apartment,-7790,-10787,0,0,0,Sales staff,3,1
F,Y,Y,0,182184,Commercial associate,Higher education,Separated,House / apartment,-14426,-24807,0,0,0,Laborers,5,1
M,Y,N,1,113383,Pensioner,Incomplete higher,Single / not married,House / apartment,3,-14793,0,1,0,Cleaning staff,4,0
M,Y,Y,1,148694,Working,Higher education,Married,House / apartment,-5087,-20384,0,0,0,Core staff,4,1
F,Y,Y,3,245506,Commercial associate,Secondary / secondary special,Married,House / apartment,-5790,-19986,0,0,0,Cooking staff,4,1
F,Y,N,0,204725,Working,Higher education,Married,House / apartment,-7204,-17122,1,0,0,Drivers,2,1
F,Y,Y,1,113216,Working,Higher education,Single / not married,House / apartment,-1385,-10186,0,1,0,Cleaning staff,3,0
F,N,Y,2,131025,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2750,-7316,0,1,0,Cooking staff,4,1
F,N,N,0,168813,Working,Secondary / secondary special,Single / not married,House / apartment,-3388,-21800,0,0,0,Accountants,2,0
F,N,Y,1,216097,Commercial associate,Secondary / secondary special,Married,House / apartment,-6409,-21627,0,0,0,Sales staff,5,1
M,N,Y,0,140408,Pensioner,Secondary / secondary special,Married,House / apartment,27,-15271,0,0,0,High skill tech staff,2,0
M,Y,Y,0,163882,Working,Secondary / secondary special,Married,House / apartment,-13544,-23617,0,0,1,Private service staff,3,1
M,N,Y,0,114681,Working,Higher education,Separated,House / apartment,-13405,-9822,1,0,0,Managers,3,1
M,N,N,3,20114,Pensioner,Lower secondary,Single / not married,House / apartment,19,-17076,0,1,0,Medicine staff,5,0
F,N,Y,0,127419,Pensioner,Secondary / secondary special,Married,House / apartment,14,-13649,0,1,0,Cleaning staff,2,0
F,N,Y,1,46943,Working,Higher education,Married,House / apartment,-6426,-20009,1,1,0,Laborers,3,1
M,N,Y,1,129474,Working,Secondary / secondary special,Single / not married,House / apartment,-1854,-19798,0,1,0,High skill tech staff,2,0
M,N,Y,0,224797,Commercial associate,Secondary / secondary special,Married,House / apartment,-12871,-21378,0,1,0,Cleaning staff,2,1
F,Y,N,1,333587,Commercial associate,Higher education,Single / not married,Co-op apartment,-4958,-15913,1,0,0,Private service staff,3,1
M,N,Y,2,199299,Working,Lower secondary,Married,House / apartment,-14169,-8152,0,1,0,Medicine staff,3,1
F,N,Y,2,203922,Working,Secondary / secondary special,Single / not married,House / apartment,-10032,-23390,1,0,0,Cooking staff,3,1
F,N,Y,1,124950,Pensioner,Secondary / secondary special,Married,With parents,11,-16196,0,1,0,Managers,2,0
F,N,Y,1,126959,Commercial associate,Secondary / secondary special,Married,House / apartment,-4027,-8012,1,0,0,Accountants,2,0
F,Y,N,0,211668,State servant,Secondary / secondary special,Separated,With parents,-11519,-24380,1,0,0,Cleaning staff,3,1
F,N,Y,3,156672,Pensioner,Higher education,Married,Office apartment,18,-9665,0,1,0,IT staff,2,1
M,N,Y,0,97208,State servant,Higher education,Married,House / apartment,-10518,-22398,0,0,0,High skill tech staff,2,1
F,N,Y,2,200164,Working,Higher education,Widow,With parents,-12994,-17902,0,0,0,Laborers,5,1
F,N,N,0,66090,Pensioner,Secondary / secondary special,Married,House / apartment,4,-24845,0,0,0,Cooking staff,2,0
M,Y,Y,3,209973,Working,Incomplete higher,Single / not married,House / apartment,-6512,-16840,0,1,0,Secretaries,3,0
F,N,N,2,280291,Commercial associate,Secondary / secondary special,Married,House / apartment,-8240,-9602,0,0,0,High skill tech staff,2,1
F,N,Y,2,197289,Working,Higher education,Married,House / apartment,-6090,-18319,1,1,0,Laborers,2,1
F,N,N,0,201530,Working,Secondary / secondary special,Married,House / apartment,-3672,-9097,0,0,0,Cleaning staff,2,1
F,N,Y,1,159910,Pensioner,Incomplete higher,Married,House / apartment,27,-13691,0,1,0,Sales staff,2,0
F,N,Y,1,176635,Pensioner,Higher education,Civil marriage,With parents,8,-22285,0,0,0,Medicine staff,2,1
F,N,Y,2,128655,Working,Incomplete higher,Civil marriage,House / apartment,-8938,-20661,0,0,0,Cooking staff,2,0
F,Y,Y,0,192250,Commercial associate,Secondary / secondary special,Married,House / apartment,-11921,-16930,0,0,0,Sales staff,2,1
F,N,N,4,190974,Working,Higher education,Married,House / apartment,-9722,-24551,1,0,0,Drivers,1,1
F,N,N,3,68776,Working,Higher education,Civil marriage,House / apartment,-14990,-9894,0,0,0,Private service staff,2,0
F,N,Y,0,102735,Pensioner,Higher education,Married,House / apartment,2,-23931,0,0,0,Managers,2,0
F,N,Y,2,173448,Working,Secondary / secondary special,Married,With parents,-14590,-20983,0,0,0,Cleaning staff,1,1
M,N,Y,1,154259,State servant,Secondary / secondary special,Married,House / apartment,-3869,-22181,1,0,0,Sales staff,4,1
F,Y,N,1,139684,Working,Secondary / secondary special,Married,House / apartment,-4154,-11418,1,0,0,Medicine staff,3,0
F,N,Y,0,237485,Commercial associate,Secondary / secondary special,Married,House / apartment,-510,-11133,0,0,0,Sales staff,3,0
M,Y,Y,1,353504,Commercial associate,Higher education,Married,House / apartment,-1483,-14773,0,0,0,Security staff,2,1
F,N,Y,2,262988,Working,Higher education,Married,House / apartment,-3622,-15618,0,1,0,High skill tech staff,4,1
M,Y,Y,0,139190,Working,Secondary / secondary special,Separated,House / apartment,-3358,-7217,1,0,1,Drivers,3,0
M,Y,Y,1,88866,Pensioner,Incomplete higher,Married,House / apartment,26,-9053,0,1,0,Core staff,3,0
F,N,Y,1,164302,Pensioner,Secondary / secondary special,Married,House / apartment,24,-13068,0,1,1,Managers,2,1
M,Y,Y,2,202419,Working,Secondary / secondary special,Married,With parents,-7124,-14015,0,0,0,Laborers,5,1
F,N,N,0,264860,Commercial associate,Secondary / secondary special,Single / not married,With parents,-4411,-18625,0,1,0,Private service staff,3,0
F,N,Y,2,256883,Working,Incomplete higher,Married,House / apartment,-9783,-9195,1,0,1,Private service staff,4,1
F,Y,Y,1,66617,Working,Higher education,Married,Municipal apartment,-7914,-7893,1,0,0,Cooking staff,2,1
M,N,Y,0,154732,Working,Secondary / secondary special,Civil marriage,With parents,-2694,-15367,0,0,0,Managers,2,0
M,N,N,0,206875,Working,Higher education,Married,House / apartment,-14688,-19727,0,0,0,Drivers,2,1
F,N,Y,1,114742,Pensioner,Secondary / secondary special,Married,House / apartment,2,-17465,0,0,0,Laborers,2,0
F,Y,Y,2,216434,Commercial associate,Secondary / secondary special,Widow,House / apartment,-8329,-20180,0,1,0,Managers,4,1
F,Y,Y,0,193066,State servant,Secondary / secondary special,Married,House / apartment,-8300,-8530,0,0,0,Managers,1,1
M,Y,Y,2,254323,Commercial associate,Secondary / secondary special,Married,House / apartment,-3070,-18154,1,1,0,Drivers,1,1
F,Y,Y,0,102251,State servant,Incomplete higher,Married,House / apartment,-12508,-9845,1,0,1,Core staff,2,1
F,Y,N,1,193103,Commercial associate,Higher education,Civil marriage,House / apartment,-4863,-20851,0,1,0,Core staff,2,1
F,N,N,5,237580,Commercial associate,Secondary / secondary special,Married,House / apartment,-14770,-19839,0,1,0,High skill tech staff,2,0
M,N,Y,2,162754,State servant,Secondary / secondary special,Single / not married,House / apartment,-11260,-21580,0,1,0,Core staff,3,1
F,N,Y,0,374341,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-4136,-9971,0,1,0,Security staff,3,1
F,N,N,1,186346,Working,Secondary / secondary special,Married,House / apartment,-306,-21788,0,0,0,Cooking staff,1,0
F,Y,Y,0,208332,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-3354,-9353,0,0,0,IT staff,2,1
M,Y,N,0,104046,Pensioner,Secondary / secondary special,Married,House / apartment,26,-21078,0,0,0,High skill tech staff,2,0
F,Y,Y,2,137888,Pensioner,Higher education,Married,With parents,12,-10071,0,1,0,Core staff,1,0
F,Y,N,2,330956,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7468,-18958,0,0,0,Sales staff,3,0
M,N,N,0,302873,Commercial associate,Secondary / secondary special,Married,House / apartment,-6908,-16987,0,1,0,Core staff,3,1
F,N,N,3,80838,Student,Incomplete higher,Married,House / apartment,-3884,-15322,0,0,1,IT staff,3,0
F,N,Y,1,152376,Working,Secondary / secondary special,Single / not married,House / apartment,-3115,-21246,0,0,0,Cooking staff,3,1
M,N,Y,0,191316,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7722,-13813,0,0,0,Secretaries,1,1
M,N,N,1,196416,Working,Secondary / secondary special,Married,House / apartment,-4538,-20635,0,0,0,Laborers,5,0
F,N,Y,1,203916,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11543,-8993,0,0,0,Core staff,3,1
M,Y,Y,1,201130,Commercial associate,Secondary / secondary special,Married,House / apartment,-3859,-24454,0,0,0,Secretaries,4,1
F,N,Y,1,167507,Working,Secondary / secondary special,Civil marriage,House / apartment,-9616,-21271,0,0,0,Drivers,1,1
M,N,N,1,132736,Working,Incomplete higher,Single / not married,House / apartment,-4490,-17650,0,1,0,Sales staff,4,0
F,Y,N,0,348984,Commercial associate,Higher education,Married,Municipal apartment,-453,-11611,0,0,0,Private service staff,3,1
M,N,Y,2,297813,Working,Higher education,Married,House / apartment,-9385,-10357,1,0,0,Sales staff,4,1
F,N,N,1,200109,Working,Secondary / secondary special,Single / not married,House / apartment,-3423,-9313,0,1,0,Cooking staff,1,0
F,N,N,0,192550,Pensioner,Secondary / secondary special,Separated,House / apartment,29,-23032,0,0,0,High skill tech staff,3,0
F,N,Y,2,88352,Working,Secondary / secondary special,Married,Municipal apartment,-4514,-20484,1,0,0,Cleaning staff,5,0
F,Y,Y,3,166835,Working,Secondary / secondary special,Married,House / apartment,-12005,-23741,1,0,0,Laborers,3,1
M,N,Y,3,206409,State servant,Secondary / secondary special,Married,House / apartment,-11362,-10855,0,0,0,Core staff,3,1
F,N,Y,0,156745,Working,Secondary / secondary special,Married,House / apartment,-1892,-22491,1,0,0,Managers,4,1
M,N,N,0,80076,Working,Secondary / secondary special,Single / not married,House / apartment,-7483,-12800,0,1,0,High skill tech staff,2,0
M,Y,Y,1,232854,Commercial associate,Secondary / secondary special,Married,House / apartment,-593,-12736,0,0,0,Laborers,3,1
M,N,Y,0,183362,Pensioner,Secondary / secondary special,Single / not married,Office apartment,27,-7054,1,0,0,Cooking staff,2,1
F,N,N,3,126435,Pensioner,Secondary / secondary special,Separated,House / apartment,10,-14723,1,0,0,Managers,4,0
F,N,Y,0,176261,State servant,Secondary / secondary special,Widow,Co-op apartment,-4466,-21331,0,0,0,Cleaning staff,1,1
F,N,N,0,133578,Pensioner,Secondary / secondary special,Married,House / apartment,2,-13378,1,0,0,Cleaning staff,2,0
F,N,Y,0,109285,Working,Secondary / secondary special,Single / not married,Municipal apartment,-10659,-8412,0,0,0,Cooking staff,3,0
M,N,N,0,264258,Working,Secondary / secondary special,Separated,House / apartment,-1548,-9960,1,0,0,Private service staff,3,0
F,N,Y,2,194714,Working,Secondary / secondary special,Married,House / apartment,-5169,-7875,0,0,0,Private service staff,3,1
M,Y,N,1,236978,Working,Secondary / secondary special,Married,House / apartment,-14384,-13920,0,0,0,Secretaries,4,1
F,N,Y,0,193356,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14761,-17951,0,0,0,Cleaning staff,4,0
M,Y,Y,0,190669,Commercial associate,Higher education,Married,House / apartment,-8948,-9484,0,0,0,Private service staff,1,1
F,N,N,1,179539,Working,Secondary / secondary special,Separated,House / apartment,-8546,-20737,0,0,0,Drivers,2,0
F,Y,Y,0,123022,Pensioner,Secondary / secondary special,Married,House / apartment,20,-20263,0,0,0,Medicine staff,1,0
M,Y,Y,1,234892,Working,Secondary / secondary special,Married,House / apartment,-2315,-7511,0,0,0,Managers,2,1
M,Y,Y,1,183947,Working,Secondary / secondary special,Married,House / apartment,-4952,-8973,0,0,0,Accountants,2,1
F,Y,N,2,90214,Commercial associate,Secondary / secondary special,Married,With parents,-5886,-18170,0,0,0,Sales staff,4,0
F,N,Y,3,226781,Working,Lower secondary,Married,House / apartment,-10113,-14985,0,1,0,Medicine staff,4,1
M,N,Y,3,176390,Working,Higher education,Married,House / apartment,-806,-20803,0,0,0,Security staff,1,1
F,N,Y,3,127632,Working,Secondary / secondary special,Married,House / apartment,-13096,-9905,0,0,0,Private service staff,1,0
M,Y,Y,0,124790,Working,Higher education,Married,With parents,-8835,-9947,1,1,0,Managers,3,1
M,Y,Y,0,107992,Pensioner,Secondary / secondary special,Married,House / apartment,4,-8528,0,0,0,Secretaries,2,0
F,Y,Y,0,147065,State servant,Secondary / secondary special,Civil marriage,House / apartment,-14188,-13297,0,0,0,Core staff,2,0
M,Y,Y,3,246161,Working,Higher education,Married,House / apartment,-10001,-14602,0,0,1,Security staff,4,1
F,N,Y,4,190669,Working,Secondary / secondary special,Civil marriage,House / apartment,-7358,-18694,0,0,0,Accountants,4,0
M,Y,Y,2,303098,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-13270,-12427,0,0,0,Accountants,2,1
M,N,N,0,160205,State servant,Higher education,Married,House / apartment,-5977,-7752,0,1,0,Core staff,4,1
F,Y,Y,3,130051,Working,Secondary / secondary special,Married,House / apartment,-11576,-16754,0,0,0,IT staff,2,0
M,Y,Y,0,185721,Working,Lower secondary,Separated,House / apartment,-1318,-8059,0,0,0,Private service staff,3,1
F,N,Y,0,148152,Pensioner,Higher education,Single / not married,Municipal apartment,11,-11982,0,0,0,Managers,2,0
M,N,Y,1,93821,Commercial associate,Higher education,Married,House / apartment,-1668,-11912,0,1,0,Accountants,1,1
M,Y,Y,0,85366,Working,Secondary / secondary special,Single / not married,House / apartment,-158,-8876,1,1,0,Secretaries,4,0
M,Y,Y,1,346951,Commercial associate,Secondary / secondary special,Married,House / apartment,-12793,-8169,1,1,0,Medicine staff,2,1
